winner,fips,state,county,votes_clinton,votes_trump,votes_total,percentage_clinton,percentage_trump,votes_diff,per_point_diff_2016,county_population_2014,county_population_2010,population_change,percent_under_5,percent_under_18,percent_over_65,percent_female,percent_black,percent_hispanic,percent_bachelor,median_household_income,poverty_percentage,Density
Trump,1001,AL,Autauga County,5908,18110,24661,0.23956855,0.734357893,12202,-0.494789343,55395,54571,1.5,6,25.2,13.8,51.4,0.187,0.027,20.9,53682,12.1,91.8
Trump,1003,AL,Baldwin County,18409,72780,94090,0.195653098,0.77351472,54371,-0.577861622,200111,182265,9.8,5.6,22.2,18.7,51.2,0.096,0.046,27.7,50221,13.9,114.6
Trump,1005,AL,Barbour County,4848,5431,10390,0.466602502,0.522714148,583,-0.056111646,26887,27457,-2.1,5.7,21.2,16.5,46.6,0.476,0.045,13.4,32911,26.7,31
Trump,1007,AL,Bibb County,1874,6733,8748,0.214220393,0.769661637,4859,-0.555441244,22506,22919,-1.8,5.3,21,14.8,45.9,0.221,0.021,12.1,36447,18.1,36.8
Trump,1009,AL,Blount County,2150,22808,25384,0.084699023,0.898518752,20658,-0.813819729,57719,57322,0.7,6.1,23.6,17,50.5,0.018,0.087,12.1,44145,15.8,88.9
Clinton,1011,AL,Bullock County,3530,1139,4701,0.750904063,0.242288875,2391,0.508615188,10764,10915,-1.4,6.3,21.4,14.9,45.3,0.701,0.075,12.5,32033,21.6,17.5
Trump,1013,AL,Butler County,3716,4891,8685,0.427864134,0.563154865,1175,-0.135290731,20296,20946,-3.1,6.1,23.6,18,53.6,0.44,0.012,14,29918,28.4,27
Trump,1015,AL,Calhoun County,13197,32803,47376,0.278558764,0.692396994,19606,-0.41383823,115916,118586,-2.3,5.7,22.2,16,51.8,0.211,0.035,16.1,39962,21.9,195.7
Trump,1017,AL,Chambers County,5763,7803,13778,0.418275512,0.56633764,2040,-0.148062128,34076,34170,-0.3,5.9,21.4,18.3,52.3,0.395,0.02,11.8,32402,24.1,57.4
Trump,1019,AL,Cherokee County,1524,8809,10503,0.1451014,0.838712749,7285,-0.693611349,26037,25986,0.2,4.8,20.4,20.9,50.2,0.046,0.015,12.8,34907,21.2,46.9
Trump,1021,AL,Chilton County,2909,15068,18255,0.159353602,0.825417694,12159,-0.666064092,43931,43631,0.7,6.4,24.2,15.2,50.8,0.106,0.077,12.9,41250,19.5,63
Trump,1023,AL,Choctaw County,3109,4102,7268,0.427765548,0.564391855,993,-0.136626307,13323,13858,-3.9,4.9,20.6,20.8,52.5,0.424,0.008,11.8,33941,21.5,15.2
Trump,1025,AL,Clarke County,5712,7109,12936,0.441558442,0.549551639,1397,-0.107993197,24945,25840,-3.5,5.6,22.6,18,52.8,0.442,0.013,11.2,29357,29.3,20.9
Trump,1027,AL,Clay County,1234,5230,6572,0.187766281,0.795800365,3996,-0.608034084,13552,13932,-2.7,5.3,21.6,19.4,50.6,0.145,0.034,9.2,34002,19,23.1
Trump,1029,AL,Cleburne County,684,5738,6532,0.104715248,0.878444581,5054,-0.773729333,15080,14972,0.7,5.7,23.3,18.4,50.4,0.036,0.025,9,38019,18.4,26.7
Trump,1031,AL,Coffee County,4194,15825,20513,0.204455711,0.771462,11631,-0.567006289,50909,49948,1.9,6.1,23.7,15.9,50.5,0.177,0.064,22.5,43768,18.6,73.6
Trump,1033,AL,Colbert County,7296,16718,24626,0.296272233,0.678875985,9422,-0.382603752,54543,54428,0.2,5.7,21.7,18.5,51.8,0.163,0.026,17.7,39077,17.9,91.8
Trump,1035,AL,Conecuh County,3069,3413,6543,0.469050894,0.521626165,344,-0.052575271,12670,13228,-4.2,5.5,21.4,20.4,51.9,0.462,0.018,8.8,24658,32.7,15.6
Trump,1037,AL,Coosa County,1780,3376,5223,0.340800306,0.646371817,1596,-0.305571511,10886,11758,-7.4,4.8,18.3,18.5,49.5,0.318,0.023,9.8,37277,20.9,17.7
Trump,1039,AL,Covington County,2379,13222,15818,0.15039828,0.835883171,10843,-0.685484891,37914,37765,0.4,5.9,22.1,19.8,51.6,0.13,0.016,14.2,35869,20,36.6
Trump,1041,AL,Crenshaw County,1663,4511,6252,0.265994882,0.721529111,2848,-0.455534229,13977,13906,0.5,6.1,22.7,18,51.1,0.24,0.017,12.7,36275,19.1,22.8
Trump,1043,AL,Cullman County,3730,32734,37278,0.100059016,0.878105049,29004,-0.778046033,81289,80410,1.1,5.9,22.5,17.6,50.5,0.014,0.044,14.8,38847,18.8,109.4
Trump,1045,AL,Dale County,4408,13798,18617,0.236772842,0.741150561,9390,-0.504377719,49484,50251,-1.5,6.3,23.6,15.4,50.5,0.197,0.061,17,44889,17.4,89.6
Clinton,1047,AL,Dallas County,12826,5784,18730,0.684783769,0.308809397,7042,0.375974373,41711,43820,-4.8,6.7,25.2,15.6,53.7,0.695,0.01,14.2,26519,35.5,44.8
Trump,1049,AL,DeKalb County,3682,21779,26086,0.141148509,0.834892279,18097,-0.693743771,71065,71115,-0.1,6.2,24.7,15.7,50.7,0.021,0.142,10.7,37851,19.9,91.5
Trump,1051,AL,Elmore County,8436,27619,36905,0.228586912,0.748380978,19183,-0.519794066,80977,79296,2.1,5.9,23,14,51.5,0.212,0.027,21,54766,13.4,128.2
Trump,1053,AL,Escambia County,4698,10282,15213,0.308814829,0.675869322,5584,-0.367054493,37733,38319,-1.5,6.1,22,16.7,48.8,0.324,0.021,11.7,30687,25.4,40.5
Trump,1055,AL,Etowah County,10350,32132,43474,0.238073331,0.739108433,21782,-0.501035101,103531,104427,-0.9,5.7,22.1,17.3,51.6,0.155,0.037,14.8,38013,19,195.2
Trump,1057,AL,Fayette County,1358,6705,8196,0.165690581,0.818081991,5347,-0.65239141,16874,17241,-2.1,5.4,21.7,19.6,50.5,0.119,0.014,13.2,33838,19.9,27.5
Trump,1059,AL,Franklin County,2197,9466,11955,0.18377248,0.791802593,7269,-0.608030113,31601,31709,-0.3,6.6,24.3,15.9,50.3,0.046,0.161,11,36415,21.9,50
Trump,1061,AL,Geneva County,1522,9967,11659,0.130542928,0.854876061,8445,-0.724333133,26712,26790,-0.3,5.8,22.2,19.2,50.8,0.097,0.036,10.4,35625,21.2,46.6
Clinton,1063,AL,Greene County,4006,838,4862,0.823940765,0.172357055,3168,0.65158371,8553,9045,-5.4,5.9,23.3,17.9,52.5,0.805,0.01,12.8,24226,32.9,14
Clinton,1065,AL,Hale County,4772,3172,8010,0.595755306,0.396004994,1600,0.199750312,15184,15760,-3.7,6.2,23.3,17.3,52.8,0.581,0.013,12.8,30051,26.6,24.5
Trump,1067,AL,Henry County,2286,5623,8017,0.285144069,0.701384558,3337,-0.416240489,17190,17302,-0.6,5.5,21.2,20.8,51.8,0.273,0.026,16.6,41650,14.4,30.8
Trump,1069,AL,Houston County,10547,30567,42030,0.250939805,0.727266238,20020,-0.476326433,104193,101547,2.6,6.2,23.7,16.1,52.1,0.267,0.033,19.7,40948,18,175.1
Trump,1071,AL,Jackson County,3663,16643,20785,0.17623286,0.800721674,12980,-0.624488814,52665,53226,-1.1,5.4,21.7,18.6,50.7,0.036,0.029,13,37634,16,49.4
Clinton,1073,AL,Jefferson County,151581,130614,290111,0.522493115,0.450220778,20967,0.072272337,660793,658350,0.4,6.6,23.1,14.3,52.8,0.429,0.038,30,45429,18,592.5
Trump,1075,AL,Lamar County,1035,5819,6931,0.149329101,0.839561391,4784,-0.69023229,14086,14564,-3.3,5,21.7,20.5,51.2,0.113,0.014,9.5,36028,22.3,24.1
Trump,1077,AL,Lauderdale County,9877,27735,38813,0.254476593,0.714580166,17858,-0.460103574,93096,92709,0.4,5.2,20.5,18.2,52.1,0.104,0.024,21.1,42844,17.2,138.8
Trump,1079,AL,Lawrence County,3611,10732,14623,0.246939752,0.73391233,7121,-0.486972577,33477,34339,-2.5,5.3,21.7,16.8,51.3,0.114,0.022,11.9,38551,17.5,49.7
Trump,1081,AL,Lee County,20987,34321,57668,0.363928002,0.595148089,13334,-0.231220087,154255,140296,9.9,5.8,21.6,10.3,50.7,0.237,0.039,32.5,43542,22,230.8
Trump,1083,AL,Limestone County,9340,28824,39400,0.237055838,0.731573604,19484,-0.494517766,90787,82782,9.7,5.9,23.4,13.8,49.7,0.135,0.058,22.7,48619,14.7,147.8
Clinton,1085,AL,Lowndes County,4882,1751,6676,0.731276213,0.262282804,3131,0.468993409,10580,11299,-6.4,6.7,23.1,17.4,52.3,0.729,0.012,14.4,26230,26.7,15.8
Clinton,1087,AL,Macon County,7237,1394,8748,0.827274806,0.159350709,5843,0.667924097,19425,21450,-9.4,4.7,18.3,16.8,54.2,0.815,0.015,19.6,30724,27.3,35.2
Trump,1089,AL,Madison County,62435,89199,159473,0.39150828,0.559336063,26764,-0.167827783,350299,334811,4.6,5.8,22.4,13.7,51.2,0.246,0.047,38.5,58434,12.8,417.7
Clinton,1091,AL,Marengo County,5607,5224,10948,0.512148338,0.477164779,383,0.034983559,20110,21029,-4.4,6,23,18.6,53.2,0.51,0.024,17.4,35079,24,21.5
Trump,1093,AL,Marion County,1432,11273,12912,0.110904585,0.873063817,9841,-0.762159232,30271,30777,-1.6,5.4,21.2,20.1,50.4,0.042,0.025,9.5,32888,20.9,41.5
Trump,1095,AL,Marshall County,4913,29217,34965,0.140511941,0.835607036,24304,-0.695095095,94636,93019,1.7,6.6,24.5,16.3,50.9,0.027,0.129,15.2,39526,19.5,164.4
Trump,1097,AL,Mobile County,68429,91087,163387,0.41881545,0.557492334,22658,-0.138676884,415123,413143,0.5,6.7,24,14.5,52.2,0.353,0.028,20.7,43028,19.8,335.9
Trump,1099,AL,Monroe County,4310,5771,10185,0.42317133,0.566617575,1461,-0.143446244,21947,23070,-4.9,5.5,23.4,17.9,52.6,0.411,0.012,10.6,29203,28.6,22.5
Clinton,1101,AL,Montgomery County,58669,33928,94572,0.620363321,0.358753119,24741,0.261610202,226189,229363,-1.4,6.8,24,13.3,52.6,0.567,0.034,31.5,44790,21.2,292.5
Trump,1103,AL,Morgan County,11216,37392,49991,0.224360385,0.747974635,26176,-0.523614251,119607,119486,0.1,6,23.1,15.9,50.8,0.125,0.079,19.9,44800,15.7,206.3
Clinton,1105,AL,Perry County,3823,1403,5255,0.727497621,0.266983825,2420,0.460513796,9826,10581,-7.1,5.5,22.4,17.9,53.4,0.675,0.013,10.4,28209,25.6,14.7
Trump,1107,AL,Pickens County,3972,5454,9494,0.418369497,0.574468085,1482,-0.156098589,20365,19746,3.1,5.2,20.5,17.8,50.6,0.402,0.041,11,28741,27.2,22.4
Trump,1109,AL,Pike County,5039,7681,13025,0.386871401,0.589712092,2642,-0.202840691,33389,32899,1.5,5.7,19.4,14.1,51.9,0.369,0.022,23,33090,27.6,48.9
Trump,1111,AL,Randolph County,2290,7697,10130,0.226061204,0.75982231,5407,-0.533761106,22539,22914,-1.6,5.7,22,19.6,51.4,0.202,0.029,11.1,35213,24.5,39.5
Clinton,1113,AL,Russell County,9577,9210,19136,0.500470318,0.481291806,367,0.019178512,59608,52949,12.6,7.6,25.3,12.5,51.3,0.429,0.05,16,36143,22,82.6
Trump,1117,AL,Shelby County,22927,72846,99208,0.231100314,0.734275462,49919,-0.503175147,206655,195218,5.9,6,24.4,13,51.2,0.121,0.06,40.3,68770,7.9,248.5
Trump,1115,AL,St. Clair County,5550,31579,37937,0.146295174,0.832406358,26029,-0.686111184,86697,83593,3.7,6.1,23,15.3,50.1,0.095,0.023,15.5,50786,15.2,132.3
Clinton,1119,AL,Sumter County,4739,1581,6391,0.741511501,0.247379127,3158,0.494132374,13166,13763,-4.3,4.8,19.7,16.3,55,0.735,0.011,14.9,22186,38,15.2
